stg,start_age,speciesRT,speciesBC,speciesSIB,run,genusRT,genusBC,genusSIB
"(0.781,1.8]",113,55,46,29,11,78,61,45
"(1.8,2.58]",100.5,62,55,28,11,92,78,47
"(2.58,3.6]",93.9,117,59,102,11,155,88,131
"(3.6,5.33]",89.8,145,106,122,11,201,142,170
"(5.33,7.25]",86.3,161,122,113,11,226,180,161
"(7.25,11.6]",83.6,190,141,152,11,276,205,217
"(11.6,13.8]",72.1,207,153,157,11,299,236,211
"(13.8,16]",66,217,182,168,11,328,274,245
"(16,20.4]",61.6,232,189,191,11,336,287,272
"(20.4,23]",59.2,192,180,132,11,292,273,196
"(23,28.1]",56,176,137,128,11,274,230,176
"(28.1,33.9]",47.8,155,122,101,11,251,212,156
"(33.9,37.8]",41.2,206,105,174,11,328,195,273
"(37.8,41.2]",37.8,238,145,187,11,361,261,274
"(41.2,47.8]",33.9,246,185,209,11,383,303,323
"(47.8,56]",28.1,270,168,255,11,383,274,338
"(56,59.2]",23.03,183,110,163,11,279,200,227
"(59.2,61.6]",20.44,112,105,57,11,194,183,67
"(61.6,66]",15.97,149,87,129,11,238,167,190
"(66,72.1]",13.82,219,67,204,11,314,133,280
"(72.1,83.6]",11.63,240,109,224,11,344,189,307
"(83.6,86.3]",7.246,151,111,117,11,240,191,170
"(86.3,89.8]",5.333,105,79,68,11,181,148,99
"(89.8,93.9]",3.6,138,87,113,11,215,160,159
"(93.9,100]",2.58,180,91,173,11,255,160,238
"(100,113]",1.8,92,68,88,11,143,118,127
"(113,125]",0.781,36,28,32,11,75,61,59
"(125,129]",0.126,25,16,17,11,43,38,22
"(129,133]",0.0117,16,11,12,11,33,27,26
"(133,140]",0.0082,30,7,28,11,42,16,40
"(140,155]",0.0042,2,2,2,11,2,2,2
"(0.0042,0.0082]",139.8,14,7,8,12,14,9,6
"(0.0082,0.0117]",132.9,18,14,5,12,18,14,5
"(0.0117,0.126]",129.4,50,17,47,12,62,18,58
"(0.126,0.781]",125,53,43,36,12,70,56,49
"(0.781,1.8]",113,58,47,32,12,79,61,46
"(1.8,2.58]",100.5,62,56,28,12,93,78,47
"(2.58,3.6]",93.9,110,59,94,12,150,88,126
"(3.6,5.33]",89.8,148,99,129,12,204,140,177
"(5.33,7.25]",86.3,166,124,118,12,236,180,166
"(7.25,11.6]",83.6,190,144,147,12,267,210,203
"(11.6,13.8]",72.1,201,155,149,12,294,232,212
"(13.8,16]",66,221,180,165,12,324,272,239
"(16,20.4]",61.6,230,190,189,12,342,284,283
"(20.4,23]",59.2,193,180,140,12,288,270,199
"(23,28.1]",56,176,138,126,12,268,229,166
"(28.1,33.9]",47.8,156,124,99,12,251,212,160
"(33.9,37.8]",41.2,206,101,172,12,326,192,272
"(37.8,41.2]",37.8,239,146,190,12,360,261,275
"(41.2,47.8]",33.9,244,184,207,12,382,299,318
"(47.8,56]",28.1,271,168,257,12,385,275,341
"(56,59.2]",23.03,188,113,170,12,281,199,225
"(59.2,61.6]",20.44,113,108,61,12,193,184,69
"(61.6,66]",15.97,148,86,127,12,237,167,189
"(66,72.1]",13.82,217,67,202,12,316,134,282
"(72.1,83.6]",11.63,240,108,224,12,344,190,306
"(83.6,86.3]",7.246,151,112,117,12,235,189,167
"(86.3,89.8]",5.333,105,78,68,12,187,150,111
"(89.8,93.9]",3.6,139,87,114,12,215,161,159
"(93.9,100]",2.58,181,93,174,12,255,160,238
"(100,113]",1.8,92,68,88,12,143,118,127
"(113,125]",0.781,38,28,34,12,76,61,60
"(125,129]",0.126,24,17,15,12,40,36,18
"(129,133]",0.0117,16,11,12,12,33,27,25
"(133,140]",0.0082,31,8,29,12,43,17,41
"(140,155]",0.0042,2,2,2,12,2,2,2
"(0.0042,0.0082]",139.8,14,9,5,13,15,10,6
"(0.0082,0.0117]",132.9,18,14,5,13,19,15,5
"(0.0117,0.126]",129.4,50,17,47,13,61,18,58
"(0.126,0.781]",125,50,43,31,13,75,54,54
"(0.781,1.8]",113,56,44,30,13,78,65,42
"(1.8,2.58]",100.5,65,55,34,13,88,77,40
"(2.58,3.6]",93.9,117,61,101,13,159,85,140
"(3.6,5.33]",89.8,146,105,123,13,201,146,172
"(5.33,7.25]",86.3,166,124,124,13,223,180,153
"(7.25,11.6]",83.6,186,138,143,13,274,202,220
"(11.6,13.8]",72.1,200,157,150,13,299,236,210
"(13.8,16]",66,219,177,162,13,321,270,232
"(16,20.4]",61.6,228,190,183,13,342,284,286
"(20.4,23]",59.2,201,185,147,13,284,270,193
"(23,28.1]",56,174,137,123,13,269,228,171
"(28.1,33.9]",47.8,159,124,105,13,256,213,160
"(33.9,37.8]",41.2,207,104,176,13,332,196,278
"(37.8,41.2]",37.8,232,148,179,13,352,262,264
"(41.2,47.8]",33.9,245,178,211,13,387,301,326
"(47.8,56]",28.1,273,167,259,13,387,276,343
"(56,59.2]",23.03,184,112,164,13,281,200,228
"(59.2,61.6]",20.44,105,100,55,13,191,184,73
"(61.6,66]",15.97,147,82,127,13,237,165,189
"(66,72.1]",13.82,220,71,205,13,320,139,286
"(72.1,83.6]",11.63,240,108,224,13,344,189,306
"(83.6,86.3]",7.246,154,113,120,13,240,191,170
"(86.3,89.8]",5.333,104,79,66,13,185,151,105
"(89.8,93.9]",3.6,137,86,112,13,217,163,161
"(93.9,100]",2.58,181,92,174,13,254,159,237
"(100,113]",1.8,92,68,88,13,143,118,127
"(113,125]",0.781,38,28,34,13,73,61,57
"(125,129]",0.126,23,16,16,13,43,36,24
"(129,133]",0.0117,17,11,13,13,34,27,27
"(133,140]",0.0082,29,7,27,13,41,16,39
"(140,155]",0.0042,2,2,2,13,2,2,2
"(0.0042,0.0082]",139.8,14,4,10,14,13,7,6
"(0.0082,0.0117]",132.9,18,14,5,14,18,13,6
"(0.0117,0.126]",129.4,50,17,47,14,60,18,57
"(0.126,0.781]",125,53,43,36,14,74,52,50
"(0.781,1.8]",113,58,48,28,14,78,66,42
"(1.8,2.58]",100.5,62,56,29,14,92,78,47
"(2.58,3.6]",93.9,117,58,102,14,157,87,135
"(3.6,5.33]",89.8,146,104,129,14,204,145,175
"(5.33,7.25]",86.3,160,124,120,14,235,182,170
"(7.25,11.6]",83.6,189,138,146,14,272,210,208
"(11.6,13.8]",72.1,206,155,153,14,292,237,202
"(13.8,16]",66,222,186,159,14,330,272,246
"(16,20.4]",61.6,232,192,193,14,345,287,281
"(20.4,23]",59.2,194,180,139,14,294,281,202
"(23,28.1]",56,172,137,122,14,271,228,170
"(28.1,33.9]",47.8,159,123,104,14,252,212,155
"(33.9,37.8]",41.2,210,103,182,14,329,196,272
"(37.8,41.2]",37.8,233,149,188,14,364,260,274
"(41.2,47.8]",33.9,243,178,207,14,383,305,320
"(47.8,56]",28.1,269,165,254,14,387,278,342
"(56,59.2]",23.03,186,111,166,14,281,201,228
"(59.2,61.6]",20.44,116,109,57,14,191,183,78
"(61.6,66]",15.97,156,93,134,14,236,162,187
"(66,72.1]",13.82,219,72,204,14,317,138,283
"(72.1,83.6]",11.63,237,108,221,14,345,189,308
"(83.6,86.3]",7.246,154,110,120,14,239,192,169
"(86.3,89.8]",5.333,102,76,67,14,182,150,104
"(89.8,93.9]",3.6,137,87,112,14,218,160,160
"(93.9,100]",2.58,180,91,173,14,253,159,236
"(100,113]",1.8,92,68,88,14,143,118,127
"(113,125]",0.781,42,28,39,14,73,61,58
"(125,129]",0.126,20,17,12,14,43,36,19
"(129,133]",0.0117,15,11,11,14,35,27,27
"(133,140]",0.0082,31,7,29,14,43,19,41
"(140,155]",0.0042,2,2,2,14,2,2,2
"(0.0042,0.0082]",139.8,13,8,5,15,14,8,6
"(0.0082,0.0117]",132.9,18,13,5,15,18,14,5
"(0.0117,0.126]",129.4,50,17,47,15,60,18,57
"(0.126,0.781]",125,52,43,34,15,71,53,53
"(0.781,1.8]",113,57,47,32,15,81,62,46
"(1.8,2.58]",100.5,65,56,32,15,88,79,38
