stg,mid_age,run,metric,diversity
92,8.48,4,speciesRT,16.65
92,8.48,4,speciesBC,7.87
92,8.48,4,speciesSIB,13.47
92,8.48,4,genusRT,26.93
92,8.48,4,genusBC,16.33
92,8.48,4,genusSIB,20.89
93,3.96,4,speciesRT,11.61
93,3.96,4,speciesBC,6.63
93,3.96,4,speciesSIB,9.37
93,3.96,4,genusRT,17.24
93,3.96,4,genusBC,11.45
93,3.96,4,genusSIB,12.94
94,1.30085,4,speciesRT,11.52
94,1.30085,4,speciesBC,3.6
94,1.30085,4,speciesSIB,11.52
94,1.30085,4,genusRT,15.08
94,1.30085,4,genusBC,6.41
94,1.30085,4,genusSIB,15.08
70,140.4,5,speciesRT,NA
70,140.4,5,speciesBC,NA
70,140.4,5,speciesSIB,NA
70,140.4,5,genusRT,21.86
70,140.4,5,genusBC,0.2
70,140.4,5,genusSIB,21.66
71,135.15,5,speciesRT,1.24
71,135.15,5,speciesBC,0.24
71,135.15,5,speciesSIB,1
71,135.15,5,genusRT,5.78
71,135.15,5,genusBC,5.13
71,135.15,5,genusSIB,1
72,129.55,5,speciesRT,6.12
72,129.55,5,speciesBC,0.72
72,129.55,5,speciesSIB,5.8
72,129.55,5,genusRT,13.21
72,129.55,5,genusBC,5.2
72,129.55,5,genusSIB,9.47
73,123.95,5,speciesRT,2.69
73,123.95,5,speciesBC,1.95
73,123.95,5,speciesSIB,1
73,123.95,5,genusRT,8.29
73,123.95,5,genusBC,7.69
73,123.95,5,genusSIB,1
74,117.3,5,speciesRT,8.56
74,117.3,5,speciesBC,1.98
74,117.3,5,speciesSIB,7.35
74,117.3,5,genusRT,17.73
74,117.3,5,genusBC,7.68
74,117.3,5,genusSIB,12.42
75,106.85,5,speciesRT,13
75,106.85,5,speciesBC,3.14
75,106.85,5,speciesSIB,11.76
75,106.85,5,genusRT,22.52
75,106.85,5,genusBC,10.46
75,106.85,5,genusSIB,15.46
76,97.2,5,speciesRT,18.57
76,97.2,5,speciesBC,3.45
76,97.2,5,speciesSIB,17.31
76,97.2,5,genusRT,32.56
76,97.2,5,genusBC,11.28
76,97.2,5,genusSIB,24.78
77,91.645,5,speciesRT,14.58
77,91.645,5,speciesBC,4.96
77,91.645,5,speciesSIB,12.44
77,91.645,5,genusRT,30.25
77,91.645,5,genusBC,15.36
77,91.645,5,genusSIB,20.25
78,87.545,5,speciesRT,25.81
78,87.545,5,speciesBC,5.56
78,87.545,5,speciesSIB,23.78
78,87.545,5,genusRT,41.75
78,87.545,5,genusBC,16.49
78,87.545,5,genusSIB,32.55
79,84.675,5,speciesRT,7.6
79,84.675,5,speciesBC,7.6
79,84.675,5,speciesSIB,0
79,84.675,5,genusRT,18.6
79,84.675,5,genusBC,18.6
79,84.675,5,genusSIB,0
80,77.91,5,speciesRT,23.26
80,77.91,5,speciesBC,7.6
80,77.91,5,speciesSIB,20.34
80,77.91,5,genusRT,40.78
80,77.91,5,genusBC,18.6
80,77.91,5,genusSIB,30.58
81,69.105,5,speciesRT,23.82
81,69.105,5,speciesBC,7.09
81,69.105,5,speciesSIB,21.96
81,69.105,5,genusRT,39.53
81,69.105,5,genusBC,18.07
81,69.105,5,genusSIB,31.31
82,63.85,5,speciesRT,24.92
82,63.85,5,speciesBC,2.89
82,63.85,5,speciesSIB,24.44
82,63.85,5,genusRT,43.09
82,63.85,5,genusBC,12.73
82,63.85,5,genusSIB,36.96
83,58.83,5,speciesRT,22.05
83,58.83,5,speciesBC,6.08
83,58.83,5,speciesSIB,18.88
83,58.83,5,genusRT,37.23
83,58.83,5,genusBC,16.27
83,58.83,5,genusSIB,26.81
84,52.035,5,speciesRT,29.86
84,52.035,5,speciesBC,8.19
84,52.035,5,speciesSIB,26.79
84,52.035,5,genusRT,46.81
84,52.035,5,genusBC,19.53
84,52.035,5,genusSIB,35.72
85,44.55,5,speciesRT,31.07
85,44.55,5,speciesBC,10.27
85,44.55,5,speciesSIB,28.35
85,44.55,5,genusRT,52.77
85,44.55,5,genusBC,22.68
85,44.55,5,genusSIB,43.04
